"n","type","coverage","mse","bias","sd","mean_se"
100,"ICE-IPCW (deb.)",0.94,0.00331,0.0000611,0.0576,0.0575
,"ICE-IPCW",,0.00329,0.000291,0.0573,
200,"ICE-IPCW (deb.)",0.942,0.00169,-0.000285,0.0411,0.0405
,"ICE-IPCW",,0.00168,-0.000226,0.041,
500,"ICE-IPCW (deb.)",0.945,0.000663,0.000136,0.0257,0.0256
,"ICE-IPCW",,0.000661,0.000142,0.0257,
1000,"ICE-IPCW (deb.)",0.952,0.000321,0.000201,0.0179,0.0181
,"ICE-IPCW",,0.00032,0.000177,0.0179,
