"effect_A_on_Y","type","coverage","mse","bias","sd","mean_se"
-0.3,"ICE-IPCW (deb.)",0.946,0.000338,0.000135,0.0184,0.0181
,"LTMLE",0.943,0.000335,0.00268,0.0181,0.0177
,"Naive Cox",,0.000371,-0.00692,0.018,
,"ICE-IPCW",,0.000338,0.000111,0.0184,
0,"ICE-IPCW (deb.)",0.95,0.00036,0.000129,0.019,0.0191
,"LTMLE",0.951,0.000352,0.000122,0.0188,0.0188
,"Naive Cox",,0.000419,-0.00823,0.0187,
,"ICE-IPCW",,0.00036,0.00014,0.019,
0.3,"ICE-IPCW (deb.)",0.948,0.00038,-0.00000359,0.0195,0.0195
,"LTMLE",0.946,0.000381,-0.00261,0.0193,0.0195
,"Naive Cox",,0.00046,-0.00932,0.0193,
,"ICE-IPCW",,0.00038,0.0000203,0.0195,
