"effect_A_on_Y","effect_L_on_A","type","coverage","mse","bias","sd","mean_se"
-0.8,-0.6,"ICE-IPCW (deb.)",0.946,0.000357,-0.0000385,0.0189,0.0187
,,"LTMLE",0.904,0.000439,0.00957,0.0187,0.0174
,,"Naive Cox",,0.000657,-0.0184,0.0178,
,,"ICE-IPCW",,0.000356,-0.0000991,0.0189,
0.8,0.6,"ICE-IPCW (deb.)",0.948,0.000266,-0.0000661,0.0163,0.0162
,,"LTMLE",0.956,0.00028,-0.00361,0.0163,0.0171
,,"Naive Cox",,0.000281,-0.00271,0.0166,
,,"ICE-IPCW",,0.000266,-0.0000493,0.0163,
